OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,Calculated_Total,Mismatch
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,debit card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,2023,1,2853.1,False
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,2024,8,302.7,False
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,credit card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,2024,2,2753.3999999999996,True
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,debit card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,2023,10,273.19,False
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,2025,5,2504.04,False
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,credit card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,2023,10,491.72,False
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,gift card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,2025,6,664.42,False
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,2023,5,747.75,False
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,gift card,Cancelled,TRK61042692,2,no_coupon,Email,268.56,2025,4,268.56,False
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,credit card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,2023,11,2037.52,False
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,credit card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,2023,12,3129.8500000000004,True
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,online,Returned,TRK48234646,7,SAVE10,Email,147.42,2024,2,147.42000000000002,True
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,debit card,Pending,TRK20419991,6,FREESHIP,Referral,361.0,2024,10,361.0,False
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,credit card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,2023,8,604.47,False
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,debit card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,2023,3,786.66,False
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,cash,Delivered,TRK54930938,3,no_coupon,Google,473.96,2023,7,473.96,False
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,credit card,Pending,TRK13194259,3,FREESHIP,Email,1067.62,2023,1,1067.62,False
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,debit card,Shipped,TRK11972116,3,no_coupon,Referral,423.4,2024,3,423.4,False
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,gift card,Pending,TRK65191045,3,SAVE10,Facebook,431.44,2025,3,431.44,False
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,2023,1,1120.0,False
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,2023,5,312.55,False
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,cash,Delivered,TRK52646983,6,no_coupon,Google,1371.8,2024,11,1371.8,False
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,online,Pending,TRK75937350,2,SAVE10,Google,99.24,2023,1,99.24,False
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,debit card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,2025,4,1093.0,False
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,2024,10,461.9,False
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,debit card,Delivered,TRK69423327,3,WINTER15,Email,399.98,2024,7,399.98,False
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,online,Delivered,TRK80276812,6,no_coupon,Referral,297.75,2024,3,297.75,False
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,online,Shipped,TRK89117573,6,WINTER15,Google,472.74,2024,2,472.74,False
ORD200028,2023-11-21,C59823,Phone,4,160.07,568 Main St,online,Pending,TRK65895539,5,no_coupon,Email,640.28,2023,11,640.28,False
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,credit card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59,2024,9,1270.59,False
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895 Main St,online,Pending,TRK54751444,5,SAVE10,Referral,853.4,2025,3,853.4,False
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,debit card,Returned,TRK31229981,6,no_coupon,Facebook,1500.24,2023,6,1500.24,False
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,cash,Delivered,TRK99261395,10,no_coupon,Email,2683.6,2023,5,2683.6000000000004,True
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77,2023,6,162.77,False
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,credit card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08,2023,1,2306.08,False
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3,2024,12,930.3,False
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465 Main St,debit card,Pending,TRK50961250,5,no_coupon,Facebook,1068.86,2025,5,1068.86,False
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409 Main St,cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,2024,10,153.48,False
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549 Main St,debit card,Delivered,TRK14835975,3,SAVE10,Google,245.89,2024,12,245.89,False
ORD200039,2025-02-27,C96664,Printer,3,256.46,666 Main St,credit card,Delivered,TRK85508960,4,SAVE10,Referral,769.38,2025,2,769.3799999999999,True
ORD200040,2023-08-20,C84766,Desk,2,344.02,267 Main St,online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,2023,8,688.04,False
ORD200041,2023-12-05,C20212,Monitor,3,611.45,657 Main St,gift card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35,2023,12,1834.3500000000001,True
ORD200042,2024-05-06,C28712,Printer,2,151.66,980 Main St,cash,Cancelled,TRK40772558,6,no_coupon,Instagram,303.32,2024,5,303.32,False
ORD200043,2023-12-14,C60572,Chair,3,499.21,871 Main St,online,Cancelled,TRK20351666,8,no_coupon,Instagram,1497.63,2023,12,1497.6299999999999,True
ORD200044,2025-04-21,C73225,Phone,2,550.18,996 Main St,gift card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36,2025,4,1100.36,False
ORD200045,2024-02-10,C17388,Chair,1,317.25,157 Main St,debit card,Returned,TRK47077395,1,SAVE10,Facebook,317.25,2024,2,317.25,False
ORD200046,2024-06-26,C43212,Monitor,4,550.14,223 Main St,debit card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56,2024,6,2200.56,False
ORD200047,2023-07-19,C38134,Desk,2,209.94,323 Main St,credit card,Returned,TRK42450754,3,FREESHIP,Email,419.88,2023,7,419.88,False
ORD200048,2023-08-26,C12408,Monitor,2,80.77,464 Main St,debit card,Shipped,TRK38938858,4,no_coupon,Google,161.54,2023,8,161.54,False
ORD200049,2023-10-07,C11985,Printer,1,30.44,633 Main St,credit card,Shipped,TRK53272402,1,SAVE10,Email,30.44,2023,10,30.44,False
ORD200050,2023-07-31,C96494,Tablet,1,179.22,446 Main St,online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,2023,7,179.22,False
ORD200051,2024-12-30,C36778,Tablet,1,388.33,434 Main St,cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33,2024,12,388.33,False
ORD200052,2024-09-08,C30513,Tablet,1,586.44,232 Main St,online,Returned,TRK64320429,5,SAVE10,Facebook,586.44,2024,9,586.44,False
ORD200053,2024-05-18,C67551,Phone,4,488.78,512 Main St,online,Returned,TRK94992552,5,FREESHIP,Google,1955.12,2024,5,1955.12,False
ORD200054,2025-03-27,C48120,Chair,1,280.25,623 Main St,online,Pending,TRK11014449,5,WINTER15,Email,280.25,2025,3,280.25,False
ORD200055,2025-06-24,C95984,Printer,3,344.4,565 Main St,online,Cancelled,TRK67434829,3,no_coupon,Facebook,1033.2,2025,6,1033.1999999999998,True
ORD200056,2023-05-21,C54298,Tablet,3,479.21,566 Main St,cash,Cancelled,TRK62902341,5,WINTER15,Referral,1437.63,2023,5,1437.6299999999999,True
ORD200057,2023-01-22,C88036,Printer,5,314.27,842 Main St,cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35,2023,1,1571.35,False
ORD200058,2023-01-15,C60190,Phone,4,474.69,202 Main St,gift card,Cancelled,TRK70857868,6,SAVE10,Google,1898.76,2023,1,1898.76,False
ORD200059,2024-09-11,C97603,Chair,4,593.27,811 Main St,online,Shipped,TRK47055028,5,no_coupon,Facebook,2373.08,2024,9,2373.08,False
ORD200060,2024-08-21,C39256,Desk,1,417.1,634 Main St,debit card,Returned,TRK23412025,3,FREESHIP,Referral,417.1,2024,8,417.1,False
ORD200061,2024-03-24,C61618,Desk,4,122.2,104 Main St,cash,Delivered,TRK43458485,7,FREESHIP,Facebook,488.8,2024,3,488.8,False
ORD200062,2023-08-22,C36497,Desk,2,43.15,691 Main St,debit card,Pending,TRK12102911,3,WINTER15,Email,86.3,2023,8,86.3,False
ORD200063,2025-02-02,C96695,Chair,1,564.86,813 Main St,debit card,Shipped,TRK64283851,6,WINTER15,Referral,564.86,2025,2,564.86,False
ORD200064,2025-06-25,C49720,Printer,3,130.61,752 Main St,debit card,Cancelled,TRK55785217,4,FREESHIP,Facebook,391.83,2025,6,391.83000000000004,True
ORD200065,2023-12-30,C97735,Monitor,5,81.7,385 Main St,credit card,Delivered,TRK13743703,6,no_coupon,Instagram,408.5,2023,12,408.5,False
